adding.1	F ("c==17")
needham.2	F((initiator_0.finished ) & (responder_0.finished ))
needham.2	F("intruder.kNa == 1" )
needham.2	F(responder_0.finished ) & ("responder_0.party == 7" )
needham.3	F((initiator_0.finished ) & (responder_0.finished ))
needham.3	F("intruder.kNa == 1" )
needham.3	F(responder_0.finished ) & ("responder_0.party == 7" )
needham.4	F((initiator_0.finished ) & (responder_0.finished ))
needham.4	F("intruder.kNa == 1" )
needham.4	F(responder_0.finished ) & ("responder_0.party == 7" )
peg_solitaire.1	F("peg_count == 1")
peg_solitaire.2	F("peg_count == 1")
peg_solitaire.3	F("peg_count == 1")
peg_solitaire.4	F("peg_count == 1")
peg_solitaire.5	F("peg_count == 1")
peg_solitaire.6	F("peg_count == 1")
peterson.1	G ((P_0.wait|P_0.q2|P_0.q3 ) -> F ((P_0.CS )) )
peterson.1	G((!(P_0.CS )) -> F (P_0.CS ))
peterson.1	GF (P_0.CS|P_1.CS|P_2.CS)
peterson.2	G ((P_0.wait|P_0.q2|P_0.q3 ) -> F ((P_0.CS )) )
peterson.2	G((!(P_0.CS )) -> F (P_0.CS ))
peterson.2	GF (P_0.CS|P_1.CS|P_2.CS)
peterson.3	G ((P_0.wait|P_0.q2|P_0.q3 ) -> F ((P_0.CS )) )
peterson.3	G((!(P_0.CS )) -> F (P_0.CS ))
peterson.3	GF (P_0.CS|P_1.CS|P_2.CS)
peterson.4	G ((P_0.wait|P_0.q2|P_0.q3 ) -> F ((P_0.CS )) )
peterson.4	G((!(P_0.CS )) -> F (P_0.CS ))
peterson.4	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
peterson.5	G ((P_0.wait|P_0.q2|P_0.q3 ) -> F ((P_0.CS )) )
peterson.5	G((!(P_0.CS )) -> F (P_0.CS ))
peterson.5	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
peterson.6	G ((P_0.wait|P_0.q2|P_0.q3 ) -> F ((P_0.CS )) )
peterson.6	G((!(P_0.CS )) -> F (P_0.CS ))
peterson.6	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
peterson.7	G ((P_0.wait|P_0.q2|P_0.q3 ) -> F ((P_0.CS )) )
peterson.7	G((!(P_0.CS )) -> F (P_0.CS ))
peterson.7	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
phils.1	GF (phil_0.eat )
phils.1	G ((phil_0.one ) -> F (phil_0.eat ))
phils.1	GF (phil_0.eat|phil_1.eat|phil_2.eat|phil_3.eat)
phils.2	GF (phil_0.eat )
phils.2	G ((phil_0.one ) -> F (phil_0.eat ))
phils.2	GF (phil_0.eat|phil_1.eat|phil_2.eat|phil_3.eat|phil_4.eat)
phils.3	GF (phil_0.eat )
phils.3	G ((phil_0.one ) -> F (phil_0.eat ))
phils.3	GF (phil_0.eat|phil_1.eat|phil_2.eat|phil_3.eat|phil_4.eat|phil_5.eat)
phils.4	GF (phil_0.eat )
phils.4	G ((phil_0.one ) -> F (phil_0.eat ))
phils.4	GF (phil_0.eat|phil_1.eat|phil_2.eat|phil_3.eat|phil_4.eat|phil_5.eat|phil_6.eat|phil_7.eat|phil_8.eat)
phils.5	GF (phil_0.eat )
phils.5	G ((phil_0.one ) -> F (phil_0.eat ))
phils.5	GF (phil_0.eat|phil_1.eat|phil_2.eat|phil_3.eat|phil_4.eat|phil_5.eat|phil_6.eat|phil_7.eat|phil_8.eat|phil_9.eat|phil_10.eat|phil_11.eat)
phils.6	GF (phil_0.eat )
phils.6	G ((phil_0.one ) -> F (phil_0.eat ))
phils.6	GF (phil_0.eat|phil_1.eat|phil_2.eat|phil_3.eat|phil_4.eat|phil_5.eat|phil_6.eat|phil_7.eat|phil_8.eat|phil_9.eat|phil_10.eat|phil_11.eat|phil_12.eat|phil_13.eat|phil_14.eat)
phils.7	GF (phil_0.eat )
phils.7	G ((phil_0.one ) -> F (phil_0.eat ))
phils.7	GF (phil_0.eat|phil_1.eat|phil_2.eat|phil_3.eat|phil_4.eat|phil_5.eat|phil_6.eat|phil_7.eat|phil_8.eat|phil_9.eat|phil_10.eat|phil_11.eat|phil_12.eat)
phils.8	GF (phil_0.eat )
phils.8	G ((phil_0.one ) -> F (phil_0.eat ))
phils.8	GF (phil_0.eat|phil_1.eat|phil_2.eat|phil_3.eat|phil_4.eat|phil_5.eat|phil_6.eat|phil_7.eat|phil_8.eat|phil_9.eat|phil_10.eat|phil_11.eat|phil_12.eat|phil_13.eat|phil_14.eat|phil_15.eat)
plc.1	GF(("B3 == 7" ) | ("time >= 100")) & GF(("B3 == cempty" ) | ("time >= 100" ))
plc.1	F("batches >= 5")
plc.1	F("time >= 100" )
plc.2	GF(("B3 == 7" ) | ("time >= 300")) & GF(("B3 == cempty" ) | ("time >= 300" ))
plc.2	F("batches >= 5")
plc.2	F("time >= 300" )
plc.3	GF(("B3 == 7" ) | ("time >= 500")) & GF(("B3 == cempty" ) | ("time >= 500" ))
plc.3	F("batches >= 5")
plc.3	F("time >= 500" )
plc.4	GF(("B3 == 7" ) | ("time >= 600")) & GF(("B3 == cempty" ) | ("time >= 600" ))
plc.4	F("batches >= 5")
plc.4	F("time >= 600" )
pouring.1	F(Bottle_1.q4)
pouring.2	F(Bottle_1.q4)
production_cell.1	F("done == 0")
production_cell.2	F("done == 5")
production_cell.3	F("done == 0")
production_cell.4	F("done == 4")
production_cell.5	F("done == 0")
production_cell.6	F("done == 0")
protocols.1	F ((Consumer.consume0 ) || (Consumer.consume1 ))
protocols.1	GF ((Consumer.consume0 ) || (Consumer.consume1 ))
protocols.1	((Producer.ready ) U (Producer.produce0 )) -> (((Consumer.ready || Consumer.got_msg ) U (Consumer.consume0 )) || G (Consumer.ready || Consumer.got_msg ))
protocols.2	F ((Consumer.consume0 ) || (Consumer.consume1 ))
protocols.2	GF ((Consumer.consume0 ) || (Consumer.consume1 ))
protocols.2	((Producer.ready ) U (Producer.produce0 )) -> (((Consumer.ready || Consumer.got_msg ) U (Consumer.consume0 )) || G (Consumer.ready || Consumer.got_msg ))
protocols.3	F ((Consumer.consume0 ) || (Consumer.consume1 ))
protocols.3	GF ((Consumer.consume0 ) || (Consumer.consume1 ))
protocols.3	((Producer.ready ) U (Producer.produce0 )) -> (((Consumer.ready || Consumer.got_msg ) U (Consumer.consume0 )) || G (Consumer.ready || Consumer.got_msg ))
protocols.4	F ((Consumer.consume0 ) || (Consumer.consume1 ))
protocols.4	GF ((Consumer.consume0 ) || (Consumer.consume1 ))
protocols.4	((Producer.ready ) U (Producer.produce0 )) -> (((Consumer.ready || Consumer.got_msg ) U (Consumer.consume0 )) || G (Consumer.ready || Consumer.got_msg ))
protocols.5	F ((Consumer.consume0 ) || (Consumer.consume1 ))
protocols.5	GF ((Consumer.consume0 ) || (Consumer.consume1 ))
protocols.5	((Producer.ready ) U (Producer.produce0 )) -> (((Consumer.ready || Consumer.got_msg ) U (Consumer.consume0 )) || G (Consumer.ready || Consumer.got_msg ))
public_subscribe.1	G((CC.doneCheckOut ) -> F((CC.doneCheckedOut ) || (CC.doneNotAvailable)))
public_subscribe.1	G((CC.doneCheckedOut ) -> F((CC.doneCheckIn ) || (CC.doneUnCheckOut)))
public_subscribe.1	!(!((User_0.doneGet ) || (User_0.doneRegister )) U (UserAdmin_0.doneNotify )) & G((User_0.doneUnRegister ) -> !(!((User_0.doneGet ) || (User_0.doneRegister )) U (UserAdmin_0.doneNotify )))
public_subscribe.2	G((CC.doneCheckOut ) -> F((CC.doneCheckedOut ) || (CC.doneNotAvailable)))
public_subscribe.2	G((CC.doneCheckedOut ) -> F((CC.doneCheckIn ) || (CC.doneUnCheckOut)))
public_subscribe.2	!(!((User_0.doneGet ) || (User_0.doneRegister )) U (UserAdmin_0.doneNotify )) & G((User_0.doneUnRegister ) -> !(!((User_0.doneGet ) || (User_0.doneRegister )) U (UserAdmin_0.doneNotify )))
public_subscribe.3	G((CC.doneCheckOut ) -> F((CC.doneCheckedOut ) || (CC.doneNotAvailable)))
public_subscribe.3	G((CC.doneCheckedOut ) -> F((CC.doneCheckIn ) || (CC.doneUnCheckOut)))
public_subscribe.3	!(!((User_0.doneGet ) || (User_0.doneRegister )) U (UserAdmin_0.doneNotify )) & G((User_0.doneUnRegister ) -> !(!((User_0.doneGet ) || (User_0.doneRegister )) U (UserAdmin_0.doneNotify )))
public_subscribe.4	G((CC.doneCheckOut ) -> F((CC.doneCheckedOut ) || (CC.doneNotAvailable)))
public_subscribe.4	G((CC.doneCheckedOut ) -> F((CC.doneCheckIn ) || (CC.doneUnCheckOut)))
public_subscribe.4	!(!((User_0.doneGet ) || (User_0.doneRegister )) U (UserAdmin_0.doneNotify )) & G((User_0.doneUnRegister ) -> !(!((User_0.doneGet ) || (User_0.doneRegister )) U (UserAdmin_0.doneNotify )))
public_subscribe.5	G((CC.doneCheckOut ) -> F((CC.doneCheckedOut ) || (CC.doneNotAvailable)))
public_subscribe.5	G((CC.doneCheckedOut ) -> F((CC.doneCheckIn ) || (CC.doneUnCheckOut)))
public_subscribe.5	!(!((User_0.doneGet ) || (User_0.doneRegister )) U (UserAdmin_0.doneNotify )) & G((User_0.doneUnRegister ) -> !(!((User_0.doneGet ) || (User_0.doneRegister )) U (UserAdmin_0.doneNotify )))
reader_writer.1	F(control.q_error )
reader_writer.2	F(control.q_error )
reader_writer.3	F(control.q_error )
resistance.1	F((Measuring_0.measure_in_progress) &!("cage_safe == 1" ))
resistance.1	F((Algorithm.too_small_resistance) &!("range == 0" ))
resistance.1	F(Algorithm.too_large_resistance) &!("range == 5" )
resistance.1	G (F (Algorithm.correct_value))
resistance.2	F((Measuring_0.measure_in_progress) &!("cage_safe == 1" ))
resistance.2	F((Algorithm.too_small_resistance) &!("range == 0" ))
resistance.2	F(Algorithm.too_large_resistance) &!("range == 5" )
resistance.2	G (F (Algorithm.correct_value))
rether.1	F(Node_0.error_st )
rether.1	G((Node_0.reserved ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.1	G ((Node_0.want_RT ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.1	G ((Node_0.reserved ) ->  ((Node_0.RT_action ) R !(Token.cycle_end )))
rether.1	GF (Node_0.NRT_action )
rether.1	GF (Node_0.RT_action )
rether.2	F(Node_0.error_st )
rether.2	G((Node_0.reserved ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.2	G ((Node_0.want_RT ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.2	G ((Node_0.reserved ) ->  ((Node_0.RT_action ) R !(Token.cycle_end )))
rether.2	GF (Node_0.NRT_action )
rether.2	GF (Node_0.RT_action )
rether.3	F(Node_0.error_st )
rether.3	G((Node_0.reserved ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.3	G ((Node_0.want_RT ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.3	G ((Node_0.reserved ) ->  ((Node_0.RT_action ) R !(Token.cycle_end )))
rether.3	GF (Node_0.NRT_action )
rether.3	GF (Node_0.RT_action )
rether.4	F(Node_0.error_st )
rether.4	G((Node_0.reserved ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.4	G ((Node_0.want_RT ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.4	G ((Node_0.reserved ) ->  ((Node_0.RT_action ) R !(Token.cycle_end )))
rether.4	GF (Node_0.NRT_action )
rether.4	GF (Node_0.RT_action )
rether.5	F(Node_0.error_st )
rether.5	G((Node_0.reserved ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.5	G ((Node_0.want_RT ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.5	G ((Node_0.reserved ) ->  ((Node_0.RT_action ) R !(Token.cycle_end )))
rether.5	GF (Node_0.NRT_action )
rether.5	GF (Node_0.RT_action )
rether.6	F(Node_0.error_st )
rether.6	G((Node_0.reserved ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.6	G ((Node_0.want_RT ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.6	G ((Node_0.reserved ) ->  ((Node_0.RT_action ) R !(Token.cycle_end )))
rether.6	GF (Node_0.NRT_action )
rether.6	GF (Node_0.RT_action )
rether.7	F(Node_0.error_st )
rether.7	G((Node_0.reserved ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.7	G ((Node_0.want_RT ) -> (! (Token.cycle_end ) U ((Token.cycle_end ) U (!(Token.cycle_end ) & ((Node_0.RT_action ) R !(Token.cycle_end ))))))
rether.7	G ((Node_0.reserved ) ->  ((Node_0.RT_action ) R !(Token.cycle_end )))
rether.7	GF (Node_0.NRT_action )
rether.7	GF (Node_0.RT_action )
rushhour.1	F(Red_car.out )
rushhour.2	F(Red_car.out )
rushhour.3	F(Red_car.out )
rushhour.4	F(Red_car.out )
schedule_world.1	F(P.done )
schedule_world.2	F(P.done )
schedule_world.3	F(P.done )
sokoban.1	F("done == 1" )
sokoban.2	F("done == 1" )
sokoban.3	F("done == 1" )
synapse.1	F(Cache_0.error_st )
synapse.1	(G ! ("written_line == 1" & "written_value == 1")) -> (G ! ("read_line == 1" && "read_value == 1"))
synapse.1	G (("written_line == 1" && "written_value == 1") -> ((G ! ("written_line == 1" && "written_value == 0")) || ((! ("read_line == 1" && "read_value == 0")) U (("written_line == 1" && "written_value == 0"))) ))
synapse.2	F(Cache_0.error_st )
synapse.2	(G ! ("written_line == 1" & "written_value == 1")) -> (G ! ("read_line == 1" && "read_value == 1"))
synapse.2	G (("written_line == 1" && "written_value == 1") -> ((G ! ("written_line == 1" && "written_value == 0")) || ((! ("read_line == 1" && "read_value == 0")) U (("written_line == 1" && "written_value == 0"))) ))
synapse.3	F(Cache_0.error_st )
synapse.3	(G ! ("written_line == 1" & "written_value == 1")) -> (G ! ("read_line == 1" && "read_value == 1"))
synapse.3	G (("written_line == 1" && "written_value == 1") -> ((G ! ("written_line == 1" && "written_value == 0")) || ((! ("read_line == 1" && "read_value == 0")) U (("written_line == 1" && "written_value == 0"))) ))
synapse.4	F(Cache_0.error_st )
synapse.4	(G ! ("written_line == 1" & "written_value == 1")) -> (G ! ("read_line == 1" && "read_value == 1"))
synapse.4	G (("written_line == 1" && "written_value == 1") -> ((G ! ("written_line == 1" && "written_value == 0")) || ((! ("read_line == 1" && "read_value == 0")) U (("written_line == 1" && "written_value == 0"))) ))
synapse.5	F(Cache_0.error_st )
synapse.5	(G ! ("written_line == 1" & "written_value == 1")) -> (G ! ("read_line == 1" && "read_value == 1"))
synapse.5	G (("written_line == 1" && "written_value == 1") -> ((G ! ("written_line == 1" && "written_value == 0")) || ((! ("read_line == 1" && "read_value == 0")) U (("written_line == 1" && "written_value == 0"))) ))
synapse.6	F(Cache_0.error_st )
synapse.6	(G ! ("written_line == 1" & "written_value == 1")) -> (G ! ("read_line == 1" && "read_value == 1"))
synapse.6	G (("written_line == 1" && "written_value == 1") -> ((G ! ("written_line == 1" && "written_value == 0")) || ((! ("read_line == 1" && "read_value == 0")) U (("written_line == 1" && "written_value == 0"))) ))
synapse.7	F(Cache_0.error_st )
synapse.7	(G ! ("written_line == 1" & "written_value == 1")) -> (G ! ("read_line == 1" && "read_value == 1"))
synapse.7	G (("written_line == 1" && "written_value == 1") -> ((G ! ("written_line == 1" && "written_value == 0")) || ((! ("read_line == 1" && "read_value == 0")) U (("written_line == 1" && "written_value == 0"))) ))
szymanski.1	G ((P_0.p2 ) -> F ((P_0.CS )) )
szymanski.1	G((!(P_0.CS )) -> F (P_0.CS ))
szymanski.1	GF(P_0.CS|P_1.CS|P_2.CS)
szymanski.2	G ((P_0.p2 ) -> F ((P_0.CS )) )
szymanski.2	G((!(P_0.CS )) -> F (P_0.CS ))
szymanski.2	GF(P_0.CS|P_1.CS|P_2.CS)
szymanski.3	G ((P_0.p2 ) -> F ((P_0.CS )) )
szymanski.3	G((!(P_0.CS )) -> F (P_0.CS ))
szymanski.3	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS)
szymanski.4	G ((P_0.p2 ) -> F ((P_0.CS )) )
szymanski.4	G((!(P_0.CS )) -> F (P_0.CS ))
szymanski.4	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS)
szymanski.5	G ((P_0.p2 ) -> F ((P_0.CS )) )
szymanski.5	G((!(P_0.CS )) -> F (P_0.CS ))
szymanski.5	GF(P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_5.CS)
telephony.1	F(User_0.error_state)
telephony.2	F(User_0.error_state)
telephony.3	F(User_0.error_state)
telephony.4	F(User_0.error_state)
telephony.5	F(User_0.error_state)
telephony.6	F(User_0.error_state)
telephony.7	F(User_0.error_state)
telephony.8	F(User_0.error_state)
train-gate.1	F((Train_1.Cross ) & (Train_2.Cross ))
train-gate.1	G ((Train_1.Appr ) -> F (Train_1.Cross ))
